step,S,A,E,I,Q,R,T
670,10,1,94,224,185,371,28
671,12,1,95,224,185,372,25
672,12,1,95,231,177,369,26
673,6,1,100,231,179,367,27
674,11,1,90,236,185,362,27
675,7,3,92,238,182,365,31
676,8,3,85,238,185,360,31
677,4,5,88,236,181,365,32
678,6,1,84,236,178,370,31
679,8,0,87,231,182,370,33
680,8,1,87,226,185,370,34
681,7,0,83,226,185,369,35
682,8,2,68,235,183,371,33
683,15,1,71,239,181,364,33
684,7,0,83,232,178,372,35
685,11,2,79,228,187,370,36
686,13,0,97,219,189,366,35
687,9,0,99,222,191,364,36
688,6,0,105,221,189,367,37
689,6,1,92,227,194,368,40
690,15,1,87,229,193,368,35
691,12,3,94,227,194,364,36
692,10,1,92,229,197,363,35
693,7,2,96,221,205,364,33
694,7,4,91,226,202,369,34
695,11,2,86,229,203,369,32
696,7,2,83,233,201,371,32
697,7,1,82,238,192,377,30
698,6,1,78,240,187,384,31
699,9,1,82,227,189,390,29
700,7,0,80,222,191,392,29
701,13,2,82,217,199,388,25
702,7,1,85,226,195,386,23
703,8,2,86,225,195,381,23
704,8,2,87,230,193,383,23
705,6,2,89,230,197,382,24
706,6,3,93,229,186,388,25
707,12,1,89,227,186,384,26
708,6,3,85,237,184,382,26
709,8,2,89,237,182,378,27
710,20,0,87,241,184,368,26
711,8,2,98,243,185,369,28
712,10,3,94,246,185,359,31
713,4,3,93,251,182,364,31
714,8,3,96,244,196,360,31
715,6,1,96,249,192,360,32
716,8,1,91,246,195,360,31
717,9,3,86,252,191,365,32
718,7,2,93,242,189,367,35
719,11,3,90,238,187,363,35
720,11,2,93,239,189,362,33
721,7,1,90,239,195,364,33
722,9,2,92,239,192,369,36
723,14,1,96,241,187,372,35
724,10,3,92,245,189,373,34
725,9,3,93,245,190,373,34
726,11,1,88,242,196,373,35
727,10,1,91,238,202,369,35
728,14,0,98,238,203,364,33
729,7,1,103,229,203,365,34
730,14,2,102,224,202,370,32
731,8,2,101,232,198,375,29
732,9,1,92,230,199,379,30
733,13,1,89,225,199,381,31
734,15,1,88,231,198,373,32
735,5,2,95,221,202,379,35
736,7,2,86,226,199,382,38
737,5,3,90,219,205,386,37
738,10,2,91,219,203,386,33
739,10,3,94,206,206,389,31
740,10,2,91,211,199,394,33
741,11,4,95,219,196,394,31
742,7,5,95,221,186,402,32
743,14,1,98,220,186,399,27
744,11,1,104,224,183,398,26
745,11,1,108,231,181,392,24
746,11,2,106,241,181,390,25
747,9,2,90,247,189,390,24
748,5,1,92,251,189,394,25
749,7,0,93,246,192,395,27
750,6,1,96,242,193,399,30
751,11,0,89,250,194,397,29
752,16,2,85,250,195,398,27
753,8,1,90,252,190,402,26
754,9,3,84,256,185,406,24
755,12,1,80,259,183,405,25
756,10,0,87,252,185,404,26
757,11,3,83,250,184,408,22
758,6,2,80,256,178,412,25
759,3,2,73,251,183,414,28
760,6,1,62,253,185,416,30
761,6,1,62,245,191,416,31
762,6,3,64,242,188,424,33
763,17,2,56,238,188,425,32
764,8,0,65,237,186,424,33
765,10,2,73,230,185,423,32
766,11,1,75,235,182,420,30
767,7,1,80,229,187,418,33
768,8,1,82,227,187,420,34
769,16,2,78,231,192,411,29
770,8,4,84,225,200,410,29
771,7,2,86,224,205,413,28
772,8,3,79,228,195,416,27
773,7,2,77,224,197,417,27
774,4,2,77,219,196,419,30
775,6,2,77,207,206,420,28
776,10,0,80,210,201,417,28
777,13,0,80,211,202,409,27
778,10,5,82,216,200,405,30
779,14,3,91,213,196,403,29
780,7,3,93,220,198,400,29
781,11,3,96,222,198,390,30
782,8,2,100,218,199,397,29
783,5,3,97,218,201,407,28
784,4,3,86,233,187,415,28
785,8,1,80,231,188,419,27
786,10,2,86,231,184,422,26
